observed,/imf3,/imf2,/imf0,/imf1,/imf10,/imf5,/imf4,/imf13,/imf6,/imf7,/imf12,/imf9,/imf8,predicted
10.181818008422844,25.337845,-7.463176700000001,1.0026283,-8.273415,-6.1213512,-39.070152,-28.844162,42.789528000000004,3.7075424,-9.57959,-0.8939676,16.777855,7.5446663,-3.0857494999999977
7.363636493682847,20.246628,-0.96403885,1.0142822,-5.557045,-6.113059,-33.899933000000004,-35.299416,42.78877,4.6927642999999994,-9.030174,-0.88612986,16.904114,7.6132812,1.5100439899999936
8.454545021057129,14.046219,5.535488,-8.128025,3.1442259999999997,-6.1047125,-28.528397,-40.480323999999996,42.78801,5.6619644000000005,-8.443367,-0.87829065,17.030079,7.681114,3.323984250000012
9.363636016845703,5.9206389999999995,11.882052999999999,-1.1834563999999999,7.576637299999999,-6.0963125,-22.69754,-43.41493,42.78725,6.622986,-7.809757,-0.87045527,17.15575,7.748134599999999,17.62099873
9.181818008422852,-3.1735458,15.934944,-7.9209633,8.2404175,-6.087859,-16.320084,-45.014072,42.786495,7.572273299999999,-7.1831512,-0.8626193999999999,17.281128,7.814323399999999,13.067286499999998
10.399999618530273,-10.756003999999999,16.211807,-10.172806,6.9116364,-6.079353299999999,-10.482742,-45.456738,42.785736,8.516075,-6.532596599999999,-0.8547845,17.406204000000002,7.879677,9.376111000000005
10.636363983154293,-17.42706,12.050892,-3.51482,5.610466000000001,-6.070793,-4.3379364,-44.781406,42.78498,9.437149,-5.851204,-0.8469515,17.53096,7.9441565999999995,12.5284327
12.0,-26.17973,5.7841263,3.8926277000000002,2.7126770000000002,-6.0621824,2.2272644,-42.89295,42.78422,10.316841,-5.1307220000000004,-0.83911896,17.65541,8.007763,12.27622604
16.000000000000007,-32.192679999999996,-1.3096046000000001,11.522728,-2.5155106,-6.0535164,8.994492,-39.810844,42.783466,11.133255,-4.378628,-0.8312874,17.779541000000002,8.070464999999999,13.191875999999997
28.636363983154308,-36.672623,-6.1847650000000005,7.0169754,-6.3234177,-6.044798,15.535934,-35.269196,42.782709999999994,11.907486,-3.6271248,-0.8234587,17.90335,8.132247999999999,8.33332019999999
42.54545593261719,-39.887054,-10.576805,10.842636,-9.219864,-6.036027,22.316817999999998,-29.632668,42.78195,12.639198,-2.8682976000000004,-0.8156309,18.026829,8.193092,15.764176499999998
50.36363601684571,-41.279823,-14.236759,19.669884,-12.400749000000001,-6.0272026,28.88829,-22.800307999999998,42.781197,13.306807999999998,-2.1093216,-0.80780363,18.149986,8.252979,31.387177170000005
