pm25imf_truth,pm25imf_predict
-6.258546352386475,-6.129589
-6.249664306640625,-6.1213512
-6.240729331970215,-6.113059
-6.231744289398193,-6.1047125
-6.22269868850708,-6.0963125
-6.213592052459717,-6.087859
-6.204439640045166,-6.0793533
-6.195226669311523,-6.070793
-6.185959815979004,-6.0621824
-6.176632404327393,-6.0535164
-6.167255401611328,-6.044798
-6.157825469970703,-6.036027
-6.1483378410339355,-6.0272026
-6.138789653778076,-6.0183268
-6.129199504852295,-6.0093985
-6.119544506072998,-6.0004187
-6.109840393066406,-5.9913864
-6.1000823974609375,-5.9823017
-6.090271472930908,-5.9731655
-6.080399513244629,-5.963979
-6.070485591888428,-5.9547386
-6.060506820678711,-5.94545
-6.050478458404541,-5.9361067
-6.040400505065918,-5.926715
-6.030261993408203,-5.9172716
-6.020077228546143,-5.907776
-6.0098395347595215,-5.8982306
-5.999551773071289,-5.8886356
-5.989203453063965,-5.87899
-5.978809356689453,-5.869293
-5.968358039855957,-5.8595476
-5.957857131958008,-5.8497515
-5.94730281829834,-5.8399057
-5.936698913574219,-5.8300104
-5.926041603088379,-5.8200655
-5.91533088684082,-5.81007
-5.904574871063232,-5.800025
-5.893761157989502,-5.790063
-5.882901668548584,-5.780099
-5.871988773345947,-5.7700872
-5.861022472381592,-5.760027
-5.850010395050049,-5.749919
-5.83894157409668,-5.7397633
-5.8278303146362305,-5.729561
-5.816661834716797,-5.7193108
-5.805447578430176,-5.709013
-5.794183254241943,-5.6986685
-5.782862186431885,-5.6882763
-5.771499156951904,-5.6778374
-5.760082721710205,-5.6673527
-5.74862003326416,-5.6568203
-5.737104415893555,-5.646243
-5.725538730621338,-5.635618
-5.713927268981934,-5.6249485
-5.702266216278076,-5.61423
-5.690559387207031,-5.603467
-5.678795337677002,-5.59266
-5.666993141174316,-5.581805
-5.655137062072754,-5.5709057
-5.6432318687438965,-5.5599604
-5.631280422210693,-5.5489693
-5.619279384613037,-5.5379353
-5.607232570648193,-5.5268545
-5.595139503479004,-5.51573
-5.5829973220825195,-5.504013
-5.570805072784424,-5.491335
-5.558567047119141,-5.4793367
-5.54628324508667,-5.4675627
-5.533949375152588,-5.4557447
-5.521570205688477,-5.44388
-5.5091447830200195,-5.4319696
-5.496673583984375,-5.4200125
-5.484152317047119,-5.4080105
-5.471592903137207,-5.3959637
-5.4589762687683105,-5.38387
-5.446321487426758,-5.3717327
-5.433620452880859,-5.3595505
-5.420869827270508,-5.3473244
-5.408077239990234,-5.3350515
-5.395238876342773,-5.322735
-5.382350444793701,-5.310376
-5.369423866271973,-5.297971
-5.356447219848633,-5.2855225
-5.3434247970581055,-5.2727203
-5.3303680419921875,-5.259694
-5.317257404327393,-5.246627
-5.30410099029541,-5.233513
-5.290902614593506,-5.220354
-5.277657985687256,-5.2071486
-5.26437520980835,-5.1939
