pm25imf_truth,pm25imf_predict
3.7238729000091553,2.7110214
4.716381549835205,3.7075424
5.710287094116211,4.6927643
6.69823694229126,5.6619644
7.672887325286865,6.622986
8.626894950866685,7.5722733
9.552921295166016,8.516075
10.443597793579102,9.437149
11.29160881042479,10.316841
12.08958911895752,11.133255
12.83019924163817,11.907486
13.50610637664795,12.639198
14.109936714172377,13.306808
14.634368896484375,13.910858
15.072049140930176,14.437111
15.415639877319336,14.876381
15.657795906066909,15.221542
15.791152000427246,15.465485
15.808457374572754,15.601036
15.702727317810059,15.621162
15.46710109710692,15.518875
15.096711158752441,15.287437
14.594935417175307,14.920952
13.96898365020752,14.427193
13.226527214050293,13.805084
12.37524032592772,13.060913
11.42282390594481,12.218842
10.377002716064453,11.273476
9.24585247039795,10.231659
8.037553787231445,9.09494
6.760228157043471,7.8711777
5.422072410583496,6.6010513
4.031203269958496,5.299515
2.5958170890808248,3.820259
1.124030351638794,2.2511368
-0.37598469853401184,0.6916046
-1.896064043045044,-0.8611069
-3.428044557571411,-2.5343094
-4.963784694671631,-4.033348
-6.495135307312012,-5.4273224
-8.013932228088379,-6.8270035
-9.512007713317871,-8.271233
-10.981210708618164,-9.686188
-12.413389205932617,-11.131714
-13.800398826599121,-12.591232
-15.134060859680176,-13.985504
-16.40672492980957,-15.350647
-17.612842559814453,-16.703476
-18.74800682067871,-17.981407
-19.808643341064453,-19.178596
-20.791358947753906,-20.290596
-21.692792892456055,-21.314034
-22.509868621826172,-22.249329
-23.239540100097656,-23.128304
-23.87874984741211,-23.909103
-24.424509048461914,-24.540344
-24.873743057250977,-25.00319
-25.223464965820312,-25.378212
-25.470762252807617,-25.66401
-25.612781524658203,-25.85434
-25.646602630615234,-25.944672
-25.569162368774414,-25.948418
-25.37738037109375,-25.863197
-25.068084716796875,-25.681381
-24.638195037841797,-25.383957
-24.084552764892578,-24.979874
-23.404071807861328,-24.456009
-22.593608856201172,-23.71605
-21.65004539489746,-22.793411
-20.570255279541016,-21.721184
-19.351125717163086,-20.495811
-17.98954200744629,-19.116028
-16.48236656188965,-17.578453
-14.828509330749512,-15.9192505
-13.03561019897461,-14.127129
-11.115779876708984,-12.266113
-9.082893371582031,-10.337807
-6.955358982086182,-8.26226
-4.752721786499023,-6.1427
-2.4945321083068848,-3.9648438
-0.2003350555896759,-1.8652344
2.1103172302246236,0.25040436
4.417843818664565,2.4370422
6.70273637771605,4.685356
8.945438385009766,6.887726
11.126381874084473,9.0928955
13.226795196533203,11.259888
15.231391906738267,13.403206
17.127674102783217,15.433647
18.906070709228516,17.346275
20.562461853027344,19.152428
22.094633102416992,20.822952
23.500478744506836,22.35138
24.777929306030273,23.746216
25.92491340637207,25.011055
26.939340591430664,26.1361
27.819145202636733,27.1232
28.562252044677734,27.973267
29.166416168212905,28.68525
29.628770828247056,29.257149
29.94631576538086,29.686676
30.1160182952881,29.971153
30.13473129272461,30.10775
29.998798370361328,30.09333
29.704063415527344,29.924454
29.246231079101562,29.597137
28.621053695678725,29.107132
27.82579803466797,28.450089
26.863954544067397,27.622177
25.740549087524414,26.62249
24.461437225341797,25.453201
23.03630638122557,24.119148
21.47789192199707,22.628769
19.799495697021484,20.99453
18.014430999755845,19.231888
16.1359806060791,17.3751
14.177445411682143,15.483322
12.152132034301758,13.54821
10.073336601257324,11.556267
7.954348087310791,9.513626
5.808468818664551,7.449936
3.649015188217163,5.30204
1.4892706871032715,2.9753036
-0.657474160194397,0.73342896
-2.777888774871826,-1.6199112
-4.858712673187256,-3.8605042
-6.886608123779297,-5.790634
-8.848315238952637,-7.6697845
-10.730518341064453,-9.501923
-12.519911766052246,-11.363686
-14.203190803527832,-13.1791
-15.768844604492188,-14.862755
-17.212804794311523,-16.49031
-18.5345458984375,-18.00888
-19.73392677307129,-19.384048
-20.81084632873535,-20.614845
-21.765182495117188,-21.70295
-22.59683609008789,-22.6529
-23.30614471435547,-23.5103
-23.89529800415039,-24.232574
-24.366966247558594,-24.72718
-24.723806381225586,-25.096054
-24.96847152709961,-25.360352
-25.103620529174805,-25.524315
-25.131921768188477,-25.591736
-25.05598258972168,-25.565697
-24.878293991088867,-25.449219
-24.60120391845703,-25.244644
-24.22697639465332,-24.954071
-23.758867263793945,-24.579521
-23.20425033569336,-24.062973
-22.57122802734375,-23.403503
-21.866395950317383,-22.6493
-21.094379425048828,-21.809952
-20.260276794433594,-20.896233
-19.369422912597656,-19.91594
-18.427160263061523,-18.876785
-17.43882179260254,-17.785889
-16.409751892089844,-16.682022
-15.345281600952148,-15.5419235
-14.250752449035645,-14.36705
-13.131440162658691,-13.206009
-11.992386817932129,-12.067383
-10.838571548461914,-10.936623
-9.674958229064941,-9.769508
-8.5065336227417,-8.6128235
-7.338270664215088,-7.4528503
-6.17514705657959,-6.335602
-5.022143840789795,-5.235138
-3.8842356204986572,-4.1433105
-2.7663936614990234,-3.1357803
-1.6736724376678467,-2.1330872
-0.6111253499984741,-1.172287
0.41741740703582764,-0.228302
1.4091941118240356,0.75336456
2.3624842166900635,1.7691727
3.2757766246795796,2.7179794
4.14755916595459,3.606079
4.976328372955322,4.4364243
5.760571002960205,5.2224274
6.498781681060791,5.947113
7.189450740814209,6.6399384
7.831065654754639,7.2825394
8.422122955322266,7.886421
8.961108207702637,8.450317
9.446520805358887,8.963669
9.876838684082031,9.425034
10.250566482543931,9.832985
10.566433906555176,10.186096
10.824056625366211,10.4793625
11.022333145141602,10.708809
11.158552169799805,10.8828125
11.232439994812026,10.999962
11.244479179382324,11.05925
11.195161819458008,11.060402
11.085054397582994,11.003601
10.914868354797363,10.889336
10.685464859008789,10.717285
10.397746086120605,10.483749
10.052823066711426,10.194946
9.652676582336426,9.851875
9.200427055358901,9.44902
8.702692985534682,8.993996
8.166511535644531,8.488258
7.598797798156738,7.9414215
7.006463050842285,7.3598633
6.3964080810546875,6.7561264
5.775485992431641,6.145996
5.150527477264404,5.533737
4.528378963470459,4.9164734
3.915868043899536,4.2828674
3.3198397159576416,3.618103
2.747129678726182,2.9460373
2.20343017578125,2.308258
1.6898399591445923,1.7044601
1.2063270807266235,1.1565475
0.752845287322998,0.66593933
0.3293149769306183,0.22103119
-0.06448006629943848,-0.18395996
-0.42880794405937195,-0.5702133
-0.7639217376708984,-0.91012573
-1.070077896118164,-1.2478485
-1.3475428819656372,-1.5523148
-1.5965707302093506,-1.8070984
-1.8174247741699219,-2.0262527
-2.010359048843384,-2.2156067
-2.175657272338867,-2.3793945
-2.313706874847412,-2.5162354
-2.424901008605957,-2.626915
-2.5097451210021973,-2.7136078
-2.569042682647705,-2.7747803
-2.6036179065704346,-2.8121796
-2.6139934062957764,-2.8268127
-2.600522756576538,-2.8193893
-2.5640783309936523,-2.7904892
-2.5057055950164795,-2.740799
-2.4265787601470947,-2.6722107
-2.327877998352051,-2.5871124
-2.210818290710449,-2.4827347
-2.07657790184021,-2.3608932
-1.926357626914978,-2.2235718
-1.7613437175750732,-2.0712662
-1.5827257633209229,-1.9042206
-1.391711950302124,-1.7243423
-1.1894809007644653,-1.5312576
-0.977232813835144,-1.3348389
-0.7561658620834351,-1.1228409
-0.5274573564529419,-0.90628815
-0.2923203110694885,-0.6861191
-0.051928937435150146,-0.45572662
0.19251209497451782,-0.2130127
0.43981027603149414,0.036239624
0.6887816190719604,0.2840042
0.938215970993042,0.53650665
1.1869369745254517,0.7891464
1.433748483657837,1.0451736
1.6774492263793945,1.3013153
1.9168508052825786,1.5637589
2.150750160217271,1.8250046
2.3779783248901367,2.0768356
2.597322463989258,2.317009
2.807584762573242,2.5511932
3.0075879096984863,2.777794
3.196145534515381,2.9919739
3.372042417526245,3.1853714
3.5340914726257324,3.3609238
3.681107521057129,3.5225449
3.811882734298706,3.6699295
3.925245046615615,3.802353
4.019987106323256,3.9141388
4.094915390014648,4.006027
4.148842811584473,4.0786896
4.180555343627944,4.1309967
4.188943862915039,4.161827
4.17285537719728,4.170021
4.13129997253418,4.154518
4.063063144683838,4.1142807
3.967009782791152,4.048233
3.8418674468994283,3.9553528
3.6863675117492676,3.829239
3.499284267425537,3.671814
3.2793617248535156,3.479828
3.0254921913146973,3.2478485
2.737380027770996,2.9724274
2.415350914001479,2.6596146
2.060361385345459,2.3091202
1.6738959550857544,1.9173126
1.2574166059494019,1.4901962
0.8126040697097778,1.0538864
0.3414233922958374,0.59942627
-0.15400803089141846,0.12808228
-0.6716254949569702,-0.37431335
-1.2093056440353394,-0.896286
-1.7649836540222168,-1.4810104
-2.336550235748291,-2.042778
-2.9220170974731445,-2.5947342
-3.519787073135376,-3.1651535
-4.128421783447266,-3.712059
-4.746375560760498,-4.2382355
-5.3722333908081055,-4.7718735
-6.00444221496582,-5.375107
-6.64158821105957,-5.9484634
-7.282162189483643,-6.5302277
-7.924681663513184,-7.1296616
-8.56766128540039,-7.723076
-9.209620475769043,-8.3263855
-9.849085807800293,-8.940598
-10.484591484069824,-9.551643
-11.114614486694336,-10.166336
-11.737709999084473,-10.795074
-12.352377891540527,-11.402451
-12.95714282989502,-11.985008
-13.550517082214355,-12.575409
-14.13102912902832,-13.164444
-14.697200775146484,-13.740105
-15.24752426147461,-14.319748
-15.780553817749023,-14.898918
-16.2947998046875,-15.459267
-16.788755416870117,-15.999268
-17.260955810546875,-16.517311
-17.709924697875977,-17.011856
-18.134183883666992,-17.481308
-18.53224754333496,-17.924133
-18.902610778808594,-18.33873
-19.243833541870117,-18.723534
-19.554414749145508,-19.076958
-19.832853317260742,-19.39746
-20.077716827392578,-19.683441
-20.28746795654297,-19.933334
-20.46067237854004,-20.145554
-20.59580421447754,-20.325142
-20.69146728515625,-20.465591
-20.746135711669922,-20.562141
-20.758255004882812,-20.613144
-20.72626495361328,-20.616974
-20.648576736450195,-20.571877
-20.52359962463379,-20.476143
-20.349735260009766,-20.328026
-20.125425338745117,-20.125732
-19.849191665649414,-19.86747
-19.519615173339844,-19.551506
-19.13513946533203,-19.176224
-18.69438934326172,-18.748253
-18.19585609436035,-18.263657
-17.63874626159668,-17.717262
-17.02497100830078,-17.107864
-16.357067108154297,-16.43573
-15.637676239013672,-15.702553
-14.869294166564941,-14.911079
-14.054506301879883,-14.064842
-13.195894241333008,-13.190979
-12.296022415161133,-12.325264
-11.357450485229492,-11.43824
-10.382768630981445,-10.494141
-9.374523162841797,-9.509598
-8.335290908813477,-8.512146
-7.267631530761719,-7.478386
-6.174138069152832,-6.454109
-5.05735445022583,-5.420952
-3.9198737144470215,-4.356331
-2.764224052429199,-3.3393936
-1.5930147171020508,-2.29924
-0.40878915786743164,-1.2572632
0.7858662605285645,-0.1957016
1.9883928298950195,0.96053314
3.196221351623535,2.1793137
4.406790733337402,3.3764877
5.617525100708008,4.5451584
6.825832366943345,5.689888
8.029184341430664,6.829239
9.224987030029297,7.974098
10.41068077087401,9.133949
11.583711624145508,10.276314
12.74148178100586,11.385689
13.881441116333008,12.501053
15.001026153564439,13.615112
16.097614288330078,14.714775
17.16871452331543,15.791031
18.21174049377443,16.84137
19.22408103942871,17.863297
20.20320701599121,18.86901
21.146530151367188,19.840935
22.051490783691406,20.776398
22.91553497314453,21.674194
23.73605346679686,22.540726
24.51050567626953,23.362694
25.23632621765138,24.13755
25.910942077636705,24.862755
26.53182029724121,25.535713
27.09717559814453,26.153923
27.60741996765138,26.715157
28.063709259033217,27.218315
28.467439651489244,27.66359
28.81969261169432,28.052132
29.12158203125,28.385681
29.37425613403319,28.666428
29.5787925720215,28.896843
29.736360549926744,29.0793
29.848041534423814,29.215233
29.914981842041016,29.305748
29.9382381439209,29.351883
29.91875648498535,29.354782
29.857402801513672,29.315475
29.755046844482422,29.234901
29.612575531005874,29.11399
29.43089485168457,28.953537
29.210834503173828,28.75441
28.95330047607422,28.517395
28.659187316894517,28.243294
28.329336166381836,27.932945
27.964656829833984,27.587257
27.566009521484375,27.207108
27.134290695190415,26.793358
26.67037010192871,26.34687
26.175113677978516,25.868584
25.6494197845459,25.359299
25.094154357910156,24.819923
24.510215759277344,24.251328
23.898458480834947,23.654404
23.259769439697266,23.029984
22.595046997070312,22.378975
21.905143737792983,21.702225
21.19093894958496,21.00064
20.453336715698242,20.27504
19.693195343017592,19.526352
18.911399841308594,18.755394
18.10881996154785,17.971138
17.286354064941406,17.179901
16.44490814208983,16.369553
15.58558464050293,15.553436
14.7097806930542,14.7235565
13.819190025329604,13.8778
12.915655136108398,13.03112
12.001014709472656,12.176964
11.077104568481445,11.310287
10.145732879638672,10.429749
9.20874118804933,9.537071
8.268009185791016,8.629509
7.325650691986084,7.716675
6.383836269378662,6.81102
5.444743633270278,5.9132004
4.510534286499023,5.0340805
3.5833816528320312,4.084549
2.6654460430145264,3.0891418
1.758920431137085,2.1206436
0.8659565448760986,1.1758804
-0.011261463165283203,0.28779602
-0.8705785274505615,-0.57167053
-1.7098197937011719,-1.4864426
-2.52681303024292,-2.3389282
-3.3193776607513428,-3.1205063
